zip,city,state,latitude,longitude,timezone,dst
37901, Knoxville, TN,36.032334,-83.884804,-5,1
37201, Nashville, TN,36.164556,-86.77738,-6,1
37501, Memphis, TN,35.169255,-89.990415,-6,1
75501, Texarkana, TX,33.414708,-94.08984,-6,1
76101, Fort Worth, TX,32.771419,-97.291484,-6,1
23201, Richmond, VA,37.541106,-77.431825,-5,1
12201, Albany, NY,42.614852,-73.970812,-5,1
17101, Harrisburg, PA,40.261839,-76.88279,-5,1
-27561, Raleigh, NC,35.898538,-78.738904,-5,1
6101, Hartford, CT,41.78007,-72.677099,-5,1
10001, New York, NY,40.750742,-73.99653,-5,1
30301, Atlanta, GA,33.844371,-84.47405,-5,1
